		
1000	а	аллея;аул
1001	а[|.|/]о	автономный округ;автономная область
1002	а.обл	автономная область
1003	а.окр	автономный округ
1004	а/я	абонентский ящик
1005	аал	аал
1006	автодорога	автодорога
1007	ал	аллея
1008	аллея	аллея
1009	аобл	автономная область
1010	арбан	арбан
1011	аул	аул

1100	б	бульвар;берег
1101	б-г	берег
1102	б-р	бульвар
1103	балка	балка
1104	бер	берег
1105	берег	берег
1106	бугор	бугор
1107	бух	бухта
1108	бухта	бухта

1200	в	владение;вал;въезд
1201	вал	вал
1202	взв	взвоз
1203	взд	въезд
1204	влд	владение
1205	вн.р-н	внутригородской район
1206	вн.тер. г	внутригородская территория
1207	волость	волость
1208	въезд	въезд
1209	высел	выселки(ок)

1300	г	город;городок
1301	гор	город;городок
1302	г-ж	гараж
1303	г-к	городок
1304	г.о	городской округ
1305	г.п	городское поселение
1306	г.ф.з	город федерального значения
1307	городок	городок
1308	гп	городской поселок
1309	гск	гаражно-строительный кооператив

1400	д	деревня;дом
1401	двлд	домовладение
1402	днп	дачное неком-е партнерство
1403	дор	дорога
1404	дп	дачный поселок

1500	ж/д б-ка	железнодорожная будка
1501	ж/д к-ма	железнодорожная казарма
1502	ж/д пл-ма	железнодорожная платформа
1503	ж/д рзд	железнодорожный разъезд
1504	ж/д ст	железнодорожная станция
1505	ж/д_будка	железнодорожная будка
1506	ж/д_казарм	железнодорожная казарма
1507	ж/д_оп	ж/д останов. (обгонный) пункт
1508	ж/д_платф	железнодорожная платформа
1509	ж/д_пост	железнодорожный пост
1510	ж/д_рзд	железнодорожный разъезд
1511	ж/д_ст	железнодорожная станция
1512	ж/р	жилой район
1513	жилзона	жилая зона
1514	жилрайон	жилой район
1515	жт	животноводческая точка

1600	з(д|)	здание
1601	з[|/|.]у	земельный участок
1602	заезд	заезд
1603	заимка	заимка
1604	ззд	заезд
1605	зона	зона

1700	к	корпус
1701	к-цо	кольцо
1702	казарма	казарма
1703	канал	канал
1704	кв	квартира;квартал
1705	кв-л	квартал
1706	км	километр
1707	кольцо	кольцо
1708	ком	комната
1709	кордон	кордон
1710	коса	коса
1711	кот	котельная
1712	кп	курортный поселок
1713	край	край

1800	л(н|)	линия
1801	линия	линия
1802	лпх	леспромхоз

1900	м	местечко
1901	м-ко	местечко
1902	м.р-н	муниципальный район
1903	массив	массив
1904	маяк	маяк
1905	мгстр.	магистраль
1906	местность	местность
1907	мкр	микрорайон
1908	мост	мост

2000	н(аб|)	набережная
2001	н/п	некоммерческое партнерство
2002	нп	населенный пункт

2100	о	область;округ;остров
2101	обл	область
2102	округ	округ
2103	онс	объект незав. строительства
2104	ост-в	остров
2105	остров	остров
2106	офис	офис

2200	п	поселок;поселение;площадь;проспект;переулок;проезд
2201	п-б	погреб
2202	п-к	починок
2203	п/о	почтовое отделение
2204	п/р	планировочный район
2205	п/р	промышленный район
2206	п/ст	поселок и(при) станция(и)
2207	пав.	павильон
2208	парк	парк
2209	пгт	поселок городского типа
2210	пер	переулок
2211	пер-д	переезд
2212	переезд	переезд
2213	пл	площадь
2214	пл-ка	площадка
2215	платф	платформа
2216	погост	погост
2217	подв	подвал
2218	полустанок	полустанок
2219	помещ.	помещение
2220	пос	поселение
2221	починок	починок
2222	пр	проспект
2223	пр-д	проезд
2224	пр-к	просек
2225	пр-ка	просека
2226	пр-кт	проспект
2227	пр-лок	проселок
2228	пр-т	проспект
2229	проезд	проезд
2230	промзона	промышленная зона
2231	просек	просек
2232	просека	просека
2233	проселок	проселок
2234	проток	проток
2235	проул	проулок
2236	проулок	проулок

2300	р-н	район
2301	раб.уч.	рабочий участок
2302	респ	республика
2303	рзд	разъезд
2304	рп	рабочий поселок
2305	ряд	ряд(ы)
2306	ряды	ряды

2400	с	село;сквер;сооружение;строение
2401	с-к	спуск
2402	с-р	сквер
2403	с.п	сельское поселение
2404	с/а	сельская администрация
2405	с/мо	сельское муницип.образование
2406	с/о	сельский округ
2407	с/п	сельское поселение
2408	с/с	сельсовет
2409	сад	сад
2410	сзд.	съезд
2411	сквер	сквер
2412	скл.	склад
2413	сл	слобода
2414	снт	садовое некоммерческое товарищество
2415	соор.	сооружение
2416	спуск	спуск
2417	ст	станция
2418	ст-ца	станица
2419	стр	строение

2500	т	тупик;территория
2501	тер	территория
2502	тер. гск	территория гаражно-строительного кооператива
2503	тер. дно	территория дачных некоммерческих объединений гражд
2504	тер. днп	территория дачных некоммерческих партнерств
2505	тер. днт	территория дачных некоммерческих товариществ
2506	тер. дпк	территория дачных потребительских кооперативов
2507	тер. оно	территория огороднических некоммерческих объединен
2508	тер. онп	территория огороднических некоммерческих партнерст
2509	тер. онт	территория огороднических некоммерческих товарищес
2510	тер. опк	территория огороднических потребительских кооперат
2511	тер. сно	территория садоводческих некоммерческих объединени
2512	тер. снп	территория садоводческих некоммерческих партнерств
2513	тер. снт	территория садоводческих некоммерческих товарищест
2514	тер. спк	территория садоводческих потребительских кооперати
2515	тер. тсн	территория товарищества собственников недвижимости
2516	тер.ф.х.	территория фермерского хозяйства
2517	тоннель	тоннель
2518	торг. зал	торговый зал
2519	тракт	тракт
2520	туп	тупик

2600	у(|л|лица)	улица
2601	ус	усадьба
2602	уч-к	участок
2603	у	улус

2700	ф(|ерма)	ферма
2701	ф/х	фермерское хозяйство

2800	х	хутор

2900	ц(|ех)	цех

3000	ш	шоссе

3100	ю	юрты
